Serial_Number,Roll_Num,Uni_ID,Student_Name,AML3201,CSL2301,CSL3307,CSL4207,CSL4208,CSL4305,CSL4318,CSL4336,CSL5210,CSP2301,ECL3311,GEW1601,GEW1603,GEW1604,GEW1605,GEW1607,GEW1608,GEW1609,GEW1610,GEW1611,GEW1613,HUL2401,HUL3301,AMP1201,CSP1307,CSP2210,ECP1311
 1,10123411,20012001,AAA AAA1,,81.82,,91.55,87.72,,83.33,76.74,,88.89,,,,,,,,,,,,,,,,,
 2,10123412,20012002,AAA AAA2,93.33,90.0,,77.19,86.21,,,,86.67,87.1,,,,,,,,,,100.0,,,,86.67,,81.97,
 3,10123413,20012003,AAA AAA3,,76.67,,75.44,,,,,80.0,80.65,,,,,100.0,,,,,,,,,86.67,,75.41,
 4,10123414,20012004,AAA AAA4,,78.79,,81.69,85.96,,86.67,86.05,,85.19,,,,,,,,,,,,,,,,,
 5,10123415,20012005,AAA AAA5,,78.79,,85.92,82.46,,93.33,81.4,,81.48,,,,,,,,,,,,,,,,,
 6,10123416,20012006,AAA AAA6,84.44,83.33,,75.44,86.21,,,,80.0,87.1,,,,,,,,,,100.0,,,,86.67,,77.05,
 7,10123417,20012007,AAA AAA7,,76.67,,75.44,75.86,,,,,80.65,,,,,,,,,,,100.0,,,80.0,,,
 8,10123418,20012008,AAA AAA8,86.67,,,77.19,77.59,,,,80.0,83.87,,,,,,,,,,100.0,,,,,,,
 9,10123419,20012009,AAA AAA9,84.44,86.67,,75.44,82.76,,,,86.67,87.1,,,,,100.0,,,,,,,,,80.0,,77.05,
 10,10123420,20012010,AAA AAA10,82.22,76.67,,80.7,82.76,,,,86.67,85.48,,,,,100.0,,,,,,,,,80.0,,,
 11,10123421,20012011,AAA AAA11,86.67,86.67,,,84.48,,,,93.33,83.87,,,,,100.0,,,,,,,,,80.0,,77.05,
 12,10123422,20012012,AAA AAA12,88.89,80.0,,80.7,82.76,,,,86.67,90.32,,,,,,,,,,100.0,,,,93.33,,86.89,
 13,10123423,20012013,AAA AAA13,86.67,80.0,,75.44,79.31,,,,80.0,83.87,,,,,100.0,,,,,,,,,86.67,,75.41,
 14,10123424,20012014,AAA AAA14,75.56,,,,,,,,80.0,77.42,,,,,,,100.0,,,,,,,,,,
 15,10123425,20012015,AAA AAA15,93.33,96.67,,87.72,89.66,,,,100.0,90.32,,,,,,,,,100.0,,,,,86.67,,86.89,
 16,10123426,20012016,AAA AAA16,,81.82,,80.28,77.19,,76.67,76.74,,79.63,,,,,,,,,,,,,,,,,
 17,10123427,20012017,AAA AAA17,,90.91,,100.0,91.23,,100.0,83.72,,94.44,,,,,,,,,,,,,,,,,
 18,10123428,20012018,AAA AAA18,,78.79,,88.73,78.95,,83.33,81.4,,81.48,,,,,,,,,,,,,,,,,
 19,10123429,20012019,AAA AAA19,100.0,93.33,,94.74,94.83,,,,93.33,96.77,,,,,100.0,,,,,,,,,100.0,,96.72,
 20,10123430,20012020,AAA AAA20,,81.82,,83.1,84.21,,93.33,83.72,,,,,,,,,,,,,,,,,,,
 21,10123431,20012021,AAA AAA21,86.67,80.0,,78.95,82.76,,,,86.67,80.65,,,,,100.0,,,,,,,,,86.67,,80.33,
 22,10123432,20012022,AAA AAA22,,76.67,,,,,,,80.0,77.42,,,,100.0,,,,,,,,,,,,,
,10123433,20012023,AAA AAA23,,76.67,,,,,,,80.0,77.42,,,,,,,,,87.5,,,,,76.67,,,
 24,10123434,20012024,AAA AAA24,82.22,86.67,,,79.31,,,,80.0,87.1,,,,,,,,,100.0,,,,,,,,
 25,10123435,20012025,AAA AAA25,86.67,76.67,,75.44,81.03,,,,76.67,79.03,,,,,,,,,,100.0,,,,86.67,,75.41,
 26,10123436,20012026,AAA AAA26,80.0,80.0,,75.44,81.03,,,,86.67,77.42,,,,,,,,,100.0,,,,,86.67,,,
 27,10123437,20012027,AAA AAA27,75.56,83.33,,77.19,75.86,,,,80.0,77.42,,,100.0,,,,,,,,,,,86.67,,78.69,
 28,10123438,20012028,AAA AAA28,75.56,76.67,,75.44,75.86,,,,80.0,77.42,,,100.0,,,,,,,,,,,83.33,,75.41,
 29,10123439,20012029,AAA AAA29,75.56,,,77.19,75.86,,,,76.67,75.81,,,,,,100.0,,,,,,,,80.0,,76.23,
 30,10123440,20012030,AAA AAA30,75.56,80.0,,75.44,,,,,,75.81,,,,,,,,,87.5,,,,,83.33,,,
 31,10123441,20012031,AAA AAA31,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,
 32,10123442,20012032,AAA AAA32,84.44,76.67,,77.19,,,,,80.0,83.87,,,,,,,87.5,,,,,,,,,75.41,
 33,10123443,20012033,AAA AAA33,86.67,93.33,,89.09,85.71,,,,93.75,89.29,,,,,,,100.0,,,,,,,86.67,,81.36,
 34,10123444,20012034,AAA AAA34,82.22,80.0,,78.18,89.29,,,,75.0,85.71,,,,,,,,,87.5,,,,,93.33,,76.27,
 35,10123445,20012035,AAA AAA35,84.44,83.33,,76.36,85.71,,,,75.0,82.14,,,,,,,,,100.0,,,,,86.67,,79.66,
 36,10123446,20012036,AAA AAA36,80.0,80.0,,,85.71,,,,75.0,85.71,,,,,100.0,,,,,,,,,86.67,,,
 37,10123447,20012037,AAA AAA37,80.0,76.67,,80.0,82.14,,,,81.25,87.5,,,,100.0,,,,,,,,,,86.67,,76.27,
 38,10123448,20012038,AAA AAA38,,78.79,,88.73,84.21,,96.67,83.72,,81.48,,,,,,,,,,,,,,,,,
 39,10123449,20012039,AAA AAA39,77.78,76.67,,76.36,80.36,,,,81.25,82.14,,,,,,,,,,100.0,,,,86.67,,,
 40,10123450,20012040,AAA AAA40,80.0,83.33,,81.82,80.36,,,,81.25,82.14,,,,,100.0,,,,,,,,,80.0,,79.66,
 41,10123451,20012041,AAA AAA41,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
 42,10123452,20012042,AAA AAA42,88.89,83.33,,83.64,85.71,,,,90.63,91.07,,,,,,,,,,100.0,,,,93.33,,79.66,
 43,10123453,20012043,AAA AAA43,,78.79,,87.32,82.46,,96.67,83.72,,85.19,,,,,,,,,,,,,,,,,
 44,10123454,20012044,AAA AAA44,75.56,83.33,,76.36,75.0,,,,81.25,78.57,,,,,,,,100.0,,,,,,80.0,,76.27,
 45,10123455,20012045,AAA AAA45,75.56,80.0,,,75.0,,,,75.0,76.79,,,,100.0,,,,,,,,,,80.0,,,
 46,10123456,20012046,AAA AAA46,,75.76,,84.51,84.21,,93.33,79.07,,81.48,,,,,,,,,,,,,,,,,
 47,10123457,20012047,AAA AAA47,77.78,76.67,,81.82,82.14,,,,93.75,82.14,,,,,100.0,,,,,,,,,93.33,,80.51,
 48,10123458,20012048,AAA AAA48,80.0,83.33,,87.27,82.14,,,,93.75,83.93,,,,,,,,,100.0,,,,,86.67,,79.66,
 49,10123459,20012049,AAA AAA49,75.56,76.67,,76.36,78.57,,,,81.25,78.57,,,,,,,,100.0,,,,,,80.0,,75.42,
 50,10123460,20012050,AAA AAA50,77.78,86.67,,76.36,89.29,,,,87.5,96.43,,,,,,,75.0,,,,,,,80.0,,75.42,
 51,10123461,20012051,AAA AAA51,91.11,96.67,,87.27,91.07,,,,87.5,100.0,,,,,,,100.0,,,,,,,80.0,,89.83,
 52,10123462,20012052,AAA AAA52,84.44,80.0,,76.36,80.36,,,,87.5,85.71,,,,,100.0,,,,,,,,,86.67,,78.81,
,10123463,20012053,AAA AAA53,75.56,76.67,,76.36,,,,,75.0,78.57,,,75.0,,,,,,,,,,,86.67,,,
 54,10123464,20012054,AAA AAA54,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,
 55,10123465,20012055,AAA AAA55,,75.76,,85.92,89.47,,100.0,,,77.78,,,,,,,,,,,,,,,,,
 56,10123466,20012056,AAA AAA56,82.22,83.33,,76.36,87.5,,,,75.0,89.29,,,,,,,87.5,,,,,,,93.33,,79.66,
 57,10123467,20012057,AAA AAA57,91.11,86.67,,85.45,94.64,,,,93.75,94.64,,,,,100.0,,,,,,,,,86.67,,89.83,
 58,10123468,20012058,AAA AAA58,82.22,80.0,,78.18,87.5,,,,75.0,80.36,,,,,100.0,,,,,,,,,86.67,,77.12,
 59,10123469,20012059,AAA AAA59,77.78,83.33,,89.09,89.29,,,,87.5,83.93,,,87.5,,,,,,,,,,,80.0,,79.66,
 60,10123470,20012060,AAA AAA60,84.44,86.67,,78.18,83.93,,,,81.25,94.64,,,,,,,100.0,,,,,,,80.0,,77.97,
 61,10123471,20012061,AAA AAA61,88.89,96.67,,85.45,89.29,,,,87.5,100.0,,,,,,,100.0,,,,,,,80.0,,86.44,
 62,10123472,20012062,AAA AAA62,91.11,96.67,,83.64,92.86,,,,87.5,100.0,,,,,,,100.0,,,,,,,86.67,,88.14,
 63,10123473,20012063,AAA AAA63,77.78,80.0,,76.36,85.71,,,,,92.86,,,,,100.0,,,,,,,,,80.0,,76.27,
 64,10123474,20012064,AAA AAA64,84.44,93.33,,78.18,80.36,,,,87.5,92.86,,,,,,,,,,100.0,,,,86.67,,77.97,
 65,10123475,20012065,AAA AAA65,81.82,75.0,,83.61,78.69,,,,92.86,86.67,,,,100.0,,,,,,,,,,82.76,,85.25,
 66,10123476,20012066,AAA AAA66,,81.82,,81.69,87.72,,90.0,81.4,,81.48,,,,,,,,,,,,,,,,,
 67,10123477,20012067,AAA AAA67,75.0,75.0,,83.61,75.41,,,,85.71,76.67,,,,,,,,,,,,,,75.86,,81.97,
 68,10123478,20012068,AAA AAA68,,96.97,,100.0,98.25,,100.0,93.02,,96.3,,,,,,,,,,,,,,,,,
 69,10123479,20012069,AAA AAA69,79.55,,,,,,,,,76.67,,,,,,,,,,,,,,75.86,,75.41,
 70,10123480,20012070,AAA AAA70,75.0,78.57,,78.69,77.05,,,,85.71,76.67,,,,,100.0,,,,,,,,,82.76,,78.69,
 71,10123481,20012071,AAA AAA71,,75.76,,85.92,89.47,,100.0,81.4,,84.62,,,,,,,,,,,,,,,,,
 72,10123482,20012072,AAA AAA72,81.82,78.57,,,78.69,,,,78.57,,,,,,,100.0,,,,,,,,82.76,,78.69,
 73,10123483,20012073,AAA AAA73,88.64,89.29,,81.97,81.97,,,,85.71,86.67,,100.0,,,,,,,,,,,,82.76,,90.16,
 74,10123484,20012074,AAA AAA74,81.82,75.0,,80.33,80.33,,,,85.71,83.33,,,100.0,,,,,,,,,,,82.76,,86.89,
 75,10123485,20012075,AAA AAA75,81.82,85.71,,95.08,86.89,,,,85.71,93.33,,100.0,,,,,,,,,,,,82.76,,95.08,
 76,10123486,20012076,AAA AAA76,,75.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,
 77,10123487,20012077,AAA AAA77,,78.79,,83.1,89.47,,96.43,76.74,,88.46,,,,,,,,,,,,,,,,,
 78,10123488,20012078,AAA AAA78,,,,,,,,,85.71,,,,100.0,,,,,,,,,,,82.76,,75.41,
 79,10123489,20012079,AAA AAA79,,78.79,,90.14,89.47,,100.0,86.05,,84.62,,,,,,,,,,,,,,,,,
,10123490,20012080,AAA AAA80,75.0,75.0,,77.05,77.05,,,,78.57,,,,,,,,,,100.0,,,,,75.86,,75.41,
 82,10123492,20012082,AAA AAA82,,75.0,,80.33,77.05,,,,85.71,76.67,,,,,,,,,100.0,,,,,79.31,,77.05,
 83,10123493,20012083,AAA AAA83,77.27,82.14,,78.69,81.97,,,,92.86,76.67,,,,,100.0,,,,,,,,,82.76,,78.69,
 84,10123494,20012084,AAA AAA84,,75.0,,77.05,77.05,,,,78.57,75.0,,,,,,,,,100.0,,,,,82.76,,75.41,
 85,10123495,20012085,AAA AAA85,,,,,,,,,85.71,,,,,,100.0,,,,,,,,,,,,
 86,10123496,20012086,AAA AAA86,,81.82,,84.51,89.47,,93.1,83.72,,80.77,,,,,,,,,,,,,,,,,
 87,10123497,20012087,AAA AAA87,,,,,,,,,,,,,,,,,,,100.0,,,,,,,77.05,
 88,10123498,20012088,AAA AAA88,,81.82,,87.32,89.47,,90.0,83.72,,100.0,,,,,,,,,,,,,,,,,
 89,10123499,20012089,AAA AAA89,79.55,82.14,,80.33,78.69,,,,85.71,76.67,,,100.0,,,,,,,,,,,82.76,,85.25,
 90,10123500,20012090,AAA AAA90,81.82,78.57,,83.61,81.97,,,,85.71,83.33,,,,,,,,,100.0,,,,,89.66,,88.52,
 91,10123501,20012091,AAA AAA91,77.27,75.0,,75.41,77.05,,,,85.71,76.67,,,100.0,,,,,,,,,,,89.66,,80.33,
 92,10123502,20012092,AAA AAA92,75.0,78.57,,77.05,81.97,,,,85.71,80.0,,100.0,,,,,,,,,,,,82.76,,80.33,
 93,10123503,20012093,AAA AAA93,,,,,,,,,,,,,,,100.0,,,,,,,,,82.76,,75.41,
 94,10123504,20012094,AAA AAA94,100.0,92.86,,98.36,98.36,,,,92.86,96.67,,,,100.0,,,,,,,,,,93.1,,98.36,
 95,10123505,20012095,AAA AAA95,,78.79,,88.73,89.47,,100.0,88.37,,92.31,,,,,,,,,,,,,,,,,
 96,10123506,20012096,AAA AAA96,79.55,85.71,,85.25,81.97,,,,85.71,83.33,,100.0,,,,,,,,,,,,82.76,,90.16,
 97,10123507,20012097,AAA AAA97,,75.0,,,,,,,85.71,,,,100.0,,,,,,,,,,,82.76,,78.69,
 98,10123508,20012098,AAA AAA98,88.64,78.57,,78.69,83.61,,,,85.71,83.33,,,100.0,,,,,,,,,,,89.66,,86.89,
 99,10123509,20012099,AAA AAA99,81.82,78.57,,77.05,,,,,78.57,76.67,,,,100.0,,,,,,,,,,79.31,,88.52,
 100,10123510,20012100,AAA AAA100,75.0,75.0,,,75.41,,,,78.57,,,,,,100.0,,,,,,,,,,,78.69,
 101,10123511,20012101,AAA AAA101,,75.0,,75.0,,,78.26,,,76.19,,,,,,,,,,,,,,,,,
 102,10123512,20012102,AAA AAA102,81.82,78.57,,78.69,,,,,93.33,93.33,,,,,,100.0,,,,,,,,80.0,,83.61,
,10123514,20012104,AAA AAA104,75.0,78.57,,75.41,78.33,,,,93.33,76.67,,,,,,100.0,,,,,,,,80.0,,78.69,
 105,10123515,20012105,AAA AAA105,88.64,78.57,,83.61,83.33,,,,86.67,83.33,,,100.0,,,,,,,,,,,80.0,,85.25,
 106,10123516,20012106,AAA AAA106,88.64,82.14,,85.25,86.67,,,,93.33,86.67,,,100.0,,,,,,,,,,,86.67,,91.8,
 107,10123517,20012107,AAA AAA107,88.64,85.71,,80.33,83.33,,,,100.0,93.33,,,,,,100.0,,,,,,,,80.0,,81.97,
 108,10123518,20012108,AAA AAA108,100.0,96.43,,100.0,96.67,,,,100.0,93.33,,,,100.0,,,,,,,,,,93.33,,100.0,
 109,10123519,20012109,AAA AAA109,,,,,75.86,,,,,,,,,,,,,,,,,,,,,,
 110,10123520,20012110,AAA AAA110,86.36,78.57,,86.89,86.67,,,,100.0,88.33,,,,100.0,,,,,,,,,,93.33,,88.52,
 111,10123521,20012111,AAA AAA111,100.0,92.86,,96.72,95.0,,,,93.33,96.67,,,,100.0,,,,,,,,,,93.33,,96.72,
 112,10123522,20012112,AAA AAA112,86.36,89.29,,88.52,81.67,,,,93.33,90.0,,,,100.0,,,,,,,,,,80.0,,90.16,
 113,10123523,20012113,AAA AAA113,86.36,78.57,,81.97,80.0,,,,86.67,90.0,,,,,,,,,100.0,,,,,86.67,,80.33,
 114,10123524,20012114,AAA AAA114,81.82,89.29,,80.33,78.33,,,,86.67,93.33,,,,100.0,,,,,,,,,,86.67,,85.25,
 115,10123525,20012115,AAA AAA115,88.64,85.71,,75.41,75.0,,,,100.0,93.33,,,,,,,100.0,,,,,,,80.0,,81.97,
 116,10123526,20012116,AAA AAA116,79.55,75.0,,,75.0,,,,86.67,76.67,,,75.0,,,,,,,,,,,80.0,,,
 117,10123527,20012117,AAA AAA117,,75.0,,,,,,,80.0,,,,,,,100.0,,,,,,,,,,75.41,
 118,10123528,20012118,AAA AAA118,,78.79,,88.73,87.72,,100.0,88.37,,84.62,,,,,,,,,,,,,,,,,
 119,10123529,20012119,AAA AAA119,84.09,82.14,,77.05,78.33,,,,80.0,90.0,,100.0,,,,,,,,,,,,80.0,,78.69,
 120,10123530,20012120,AAA AAA120,88.64,82.14,,81.97,90.0,,,,86.67,83.33,,,,,,,,,100.0,,,,,80.0,,85.25,
 121,10123531,20012121,AAA AAA121,81.82,78.57,,81.97,81.67,,,,86.67,86.67,,,,100.0,,,,,,,,,,80.0,,86.89,
 122,10123532,20012122,AAA AAA122,93.18,85.71,,88.52,86.67,,,,100.0,93.33,,,,,,,,,100.0,,,,,86.67,,93.44,
 123,10123533,20012123,AAA AAA123,,78.79,,84.51,80.7,,96.67,93.02,,88.46,,,,,,,,,,,,,,,,,
 124,10123534,20012124,AAA AAA124,,75.76,,85.92,80.7,,96.67,79.07,,84.62,,,,,,,,,,,,,,,,,
,10123535,20012125,AAA AAA125,,75.76,,88.73,91.23,,96.67,86.05,,92.31,,,,,,,,,,,,,,,,,
 127,10123537,20012127,AAA AAA127,77.27,82.14,,78.69,76.67,,,,80.0,83.33,,100.0,,,,,,,,,,,,80.0,,83.61,
 128,10123538,20012128,AAA AAA128,75.0,76.67,,75.86,75.41,,,,80.0,80.65,,,,,,75.0,,,,,,,,80.0,,75.41,
 129,10123539,20012129,AAA AAA129,77.27,78.57,,75.41,76.67,,,,80.0,80.0,,,,,,100.0,,,,,,,,80.0,,81.97,
 130,10123540,20012130,AAA AAA130,81.82,82.14,,78.69,80.0,,,,86.67,86.67,,100.0,,,,,,,,,,,,86.67,,85.25,
 131,10123541,20012131,AAA AAA131,,,,86.96,82.46,,80.0,81.4,,,,,,,,,,,,,,,,,,,
 132,10123542,20012132,AAA AAA132,77.27,83.33,,81.03,78.69,,,,86.67,80.65,,100.0,,,,,,,,,,,,93.33,,80.33,
 133,10123543,20012133,AAA AAA133,77.27,86.67,,81.03,81.97,,,,100.0,87.1,,,,,,,,100.0,,,,,,93.33,,81.97,
 134,10123544,20012134,AAA AAA134,77.27,76.67,,79.31,75.41,,,,80.0,80.65,,,,,,100.0,,,,,,,,86.67,,78.69,
 135,10123545,20012135,AAA AAA135,75.0,90.0,,81.03,,,,,86.67,87.1,,100.0,,,,,,,,,,,,86.67,,78.69,
 136,10123546,20012136,AAA AAA136,79.55,86.67,,84.48,78.69,,,,86.67,83.87,,,100.0,,,,,,,,,,,93.33,,80.33,
 137,10123547,20012137,AAA AAA137,,,,,,,,,,,,100.0,,,,,,,,,,,,80.0,,,
 138,10123548,20012138,AAA AAA138,77.27,,,79.31,,,,,86.67,,,,,,,,,,,,100.0,,,,,75.41,
 139,10123549,20012139,AAA AAA139,77.27,80.0,,79.31,75.41,,,,86.67,80.65,,,,,,,,,,,100.0,,,86.67,,81.97,
 140,10123550,20012140,AAA AAA140,,,,,,,83.33,,,,,,,,,,,,,,,,,,,,
 141,10123551,20012141,AAA AAA141,,80.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,
 143,10123553,20012143,AAA AAA143,79.55,76.67,,81.03,,,,,86.67,77.42,,,,,,,,75.0,,,,,,80.0,,,
 144,10123554,20012144,AAA AAA144,,,,85.51,80.7,,80.0,83.72,,79.41,,,,,,,,,,,,,,,,,
 145,10123555,20012145,AAA AAA145,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
 146,10123556,20012146,AAA AAA146,77.27,,,,75.41,,,,80.0,77.42,,,,,,,,100.0,,,,,,,,77.05,
,10123557,20012147,AAA AAA147,77.27,80.0,,,,,,,86.67,80.65,,,,,,,,75.0,,,,,,,,75.41,
 148,10123558,20012148,AAA AAA148,,76.67,,79.31,,,,,86.67,,,100.0,,,,,,,,,,,,,,,
 149,10123559,20012149,AAA AAA149,,,,85.51,82.46,,96.67,79.07,,,,,,,,,,,,,,,,,,,
 150,10123560,20012150,AAA AAA150,,76.67,,75.86,,,,,,,,100.0,,,,,,,,,,,,,,,
 151,10123561,20012151,AAA AAA151,84.09,80.0,,77.59,75.41,,,,93.33,87.1,,100.0,,,,,,,,,,,,80.0,,78.69,
 152,10123562,20012152,AAA AAA152,79.55,80.0,,79.31,75.41,,,,86.67,85.48,,100.0,,,,,,,,,,,,80.0,,80.33,
 153,10123563,20012153,AAA AAA153,86.36,83.33,,82.76,78.69,,,,100.0,87.1,,,,,,100.0,,,,,,,,93.33,,83.61,
 154,10123564,20012154,AAA AAA154,,,,86.96,85.96,,93.33,81.4,,76.47,,,,,,,,,,,,,,,,,
 155,10123565,20012155,AAA AAA155,,,,84.06,87.72,,90.0,81.4,,82.35,,,,,,,,,,,,,,,,,
 156,10123566,20012156,AAA AAA156,79.55,90.0,,84.48,80.33,,,,93.33,87.1,,,,,,,,,100.0,,,,,86.67,,81.97,
 158,10123568,20012158,AAA AAA158,86.36,83.33,,89.66,81.97,,,,93.33,83.87,,,,,,,,100.0,,,,,,80.0,,85.25,
 159,10123569,20012159,AAA AAA159,,,,77.59,,,,,80.0,,,,100.0,,,,,,,,,,,80.0,,75.41,
 160,10123570,20012160,AAA AAA160,84.09,83.33,,86.21,81.97,,,,93.33,88.71,,,,,,,,,100.0,,,,,100.0,,90.16,
 161,10123571,20012161,AAA AAA161,84.09,86.67,,86.21,80.33,,,,100.0,83.87,,,,,,,,100.0,,,,,,80.0,,81.97,
 162,10123572,20012162,AAA AAA162,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,
 163,10123573,20012163,AAA AAA163,77.27,76.67,,77.59,81.97,,,,86.67,85.48,,,,,,,,100.0,,,,,,86.67,,81.97,
 164,10123574,20012164,AAA AAA164,79.55,86.67,,81.03,81.97,,,,100.0,85.48,,,,,,,,100.0,,,,,,100.0,,85.25,
 165,10123575,20012165,AAA AAA165,75.0,86.67,,84.48,77.05,,,,93.33,80.65,,,,,,,,87.5,,,,,,,,77.05,
 166,10123576,20012166,AAA AAA166,,,,85.51,91.23,,86.67,,,,,,,,,,,,,,,,,,,,
,10123577,20012167,AAA AAA167,,76.67,,86.21,,,,,80.0,79.03,,100.0,,,,,,,,,,,,80.0,,,
 168,10123578,20012168,AAA AAA168,,78.38,,78.26,85.96,,85.19,81.4,,76.47,,,,,,,,,,,,,,,,,
 169,10123579,20012169,AAA AAA169,75.0,76.67,,81.03,75.41,,,,93.33,,,100.0,,,,,,,,,,,,80.0,,78.69,
 170,10123580,20012170,AAA AAA170,79.55,80.0,,83.33,75.41,,,,80.0,77.78,,,,,,,,,,93.75,,,,80.0,,78.69,
 171,10123581,20012171,AAA AAA171,86.36,80.0,,85.0,77.05,,,,86.67,88.89,,100.0,,,,,,,,,,,,80.0,,80.33,
 172,10123582,20012172,AAA AAA172,90.91,86.67,,81.67,80.33,,,,100.0,88.89,,,,,,,,,100.0,,,,,86.67,,85.25,
 173,10123583,20012173,AAA AAA173,93.18,83.33,,91.67,78.69,,,,86.67,88.89,,,100.0,,,,,,,,,,,93.33,,86.89,
 174,10123584,20012174,AAA AAA174,77.27,80.0,,80.0,,,,,80.0,,,,,,,,,,,,100.0,,,86.67,,80.33,
 175,10123585,20012175,AAA AAA175,97.73,80.0,,83.33,80.33,,,,80.0,85.19,,,100.0,,,,,,,,,,,93.33,,85.25,
 176,10123586,20012176,AAA AAA176,75.0,,,75.0,75.41,,,,,,,,,,100.0,,,,,,,,,80.0,,75.41,
 177,10123587,20012177,AAA AAA177,79.55,83.33,,76.67,77.05,,,,86.67,85.19,,,,,,,,87.5,,,,,,80.0,,78.69,
 178,10123588,20012178,AAA AAA178,75.0,83.33,,84.48,,,,,80.0,80.65,,100.0,,,,,,,,,,,,86.67,,75.41,
 179,10123589,20012179,AAA AAA179,75.0,76.67,,83.33,75.41,,,,80.0,,,100.0,,,,,,,,,,,,,,,
 180,10123590,20012180,AAA AAA180,81.82,76.67,,86.67,75.41,,,,93.33,77.78,,,,,,,,100.0,,,,,,100.0,,80.33,
 181,10123591,20012181,AAA AAA181,84.09,100.0,,86.67,81.97,,,,86.67,81.48,,,,,,,,,,100.0,,,,86.67,,83.61,
 182,10123592,20012182,AAA AAA182,79.55,76.67,,83.33,77.05,,,,86.67,83.33,,,100.0,,,,,,,,,,,86.67,,80.33,
 183,10123593,20012183,AAA AAA183,81.82,76.67,,83.33,,,,,80.0,,,,,,,,,,100.0,,,,,93.33,,80.33,
 184,10123594,20012184,AAA AAA184,75.0,86.67,,88.33,77.05,,,,93.33,,,100.0,,,,,,,,,,,,86.67,,78.69,
 185,10123595,20012185,AAA AAA185,84.09,93.33,,90.0,81.97,,,,93.33,,,100.0,,,,,,,,,,,,80.0,,80.33,
 186,10123596,20012186,AAA AAA186,84.09,86.67,,80.0,75.41,,,,80.0,77.78,,100.0,,,,,,,,,,,,80.0,,80.33,
 187,10123597,20012187,AAA AAA187,,,,78.33,,,,,,75.93,,,75.0,,,,,,,,,,,,,,
,10123598,20012188,AAA AAA188,77.27,86.67,,86.67,77.05,,,,100.0,75.93,,100.0,,,,,,,,,,,,93.33,,,
 189,10123599,20012189,AAA AAA189,,76.92,,87.14,91.23,,100.0,86.05,,85.71,,,,,,,,,,,,,,,,,
 190,10123600,20012190,AAA AAA190,75.0,76.67,,81.67,,,,,80.0,,,100.0,,,,,,,,,,,,80.0,,,
 191,10123601,20012191,AAA AAA191,93.18,96.67,,91.67,85.25,,,,93.33,92.59,,,,,,,100.0,,,,,,,100.0,,93.44,
 192,10123602,20012192,AAA AAA192,79.55,83.33,,80.0,75.41,,,,80.0,,,,,,,75.0,,,,,,,,86.67,,77.05,
 193,10123603,20012193,AAA AAA193,75.0,76.67,,80.0,75.41,,,,,77.78,,,,,,,,,,,100.0,,,80.0,,,
 194,10123604,20012194,AAA AAA194,77.27,80.0,,88.33,75.41,,,,80.0,81.48,,,,,,,,100.0,,,,,,93.33,,80.33,
 195,10123605,20012195,AAA AAA195,90.91,86.67,,90.0,78.69,,,,86.67,88.89,,,,100.0,,,,,,,,,,100.0,,86.89,
 196,10123606,20012196,AAA AAA196,77.27,80.0,,85.0,78.69,,,,86.67,85.19,,,,,,,,100.0,,,,,,100.0,,81.97,
 197,10123607,20012197,AAA AAA197,95.45,90.0,,93.33,88.52,,,,100.0,96.3,,,,,100.0,,,,,,,,,100.0,,91.8,
 198,10123608,20012198,AAA AAA198,,,,82.86,85.96,,86.67,79.07,,82.14,,,,,,,,,,,,,,,,,
 199,10123609,20012199,AAA AAA199,77.27,83.33,,85.0,77.05,,,,86.67,,,,,,100.0,,,,,,,,,86.67,,81.97,
 200,10123610,20012200,AAA AAA200,75.0,80.0,,83.33,75.41,,,,80.0,77.78,,,,,100.0,,,,,,,,,86.67,,83.61,
 201,10123611,20012201,AAA AAA201,89.13,89.29,,85.96,79.03,,,,93.33,90.91,,,,,,,,,100.0,,,,,93.33,,93.22,
 202,10123612,20012202,AAA AAA202,84.78,92.86,,92.98,87.1,,,,93.33,87.27,,,,,,100.0,,,,,,,,93.33,,91.53,
 203,10123613,20012203,AAA AAA203,95.45,100.0,,95.0,91.8,,,,100.0,96.3,,,,,100.0,,,,,,,,,100.0,,91.8,
 204,10123614,20012204,AAA AAA204,,78.79,,,82.46,,90.0,,,82.14,,,,,,,,,,,,,,,,,
 205,10123615,20012205,AAA AAA205,78.26,78.57,,77.19,80.65,,,,86.67,83.64,,,,,,,,,100.0,,,,,93.33,,79.66,
 206,10123616,20012206,AAA AAA206,76.09,82.14,,80.7,77.42,,,,86.67,80.0,,,75.0,,,,,,,,,,,80.0,,76.27,
 207,10123617,20012207,AAA AAA207,80.43,85.71,,84.21,75.81,,,,86.67,76.36,,,,,,100.0,,,,,,,,93.33,,82.2,
 208,10123618,20012208,AAA AAA208,78.26,85.71,,82.46,79.03,,,,86.67,83.64,,,,,,,,100.0,,,,,,93.33,,81.36,
